HT_Code,AT_Code,FT_Result_code,HT_Form,AT_Form,FT_HT_Goals,FT_AT_Goals,HT_HT_Goals,HT_AT_Goals,HT_Shots,AT_Shots,HT_Shots_target,AT_Shots_target,HT_Fouls_Comm,AT_Fouls_Comm,HT_Corners,AT_Corners,HT_Yellows,AT_Yellows,HT_Reds,AT_Reds,HT_W_Odds,Draw_Odds,AT_W_Odds,5GAV_FT_HT_Goals,5GAV_FT_AT_Goals,5GAV_HT_Shots,5GAV_AT_Shots,5GAV_HT_Shots_target,5GAV_AT_Shots_target,5GAV_HT_Fouls_Comm,5GAV_AT_Fouls_Comm,5GAV_HT_Corners,5GAV_AT_Corners,5GAV_HT_Yellows,5GAV_AT_Yellows,5GAV_HT_Reds,5GAV_AT_Reds,HT_Result_code,AVG_Influence_HT,AVG_ICT_Index_HT,Injured_Players_HT,AVG_Influence_AT,AVG_ICT_Index_AT,Injured_Players_AT,HT_Players_Performances,AT_Players_Performances
26,28,1,8,1,3,1,1,1,17,14,4,6,7,14,6,4,2,0,0,0,2.05,3.6,3.8,0.4,1.0,11.6,8.2,3.2,3.2,10.6,12.4,3.4,3.8,1.6,1.6,0.0,0.0,0,15.333333333333332,3.1533333333333333,3.0,10.616666666666667,2.3000000000000003,2.0,6.243333333333332,4.458333333333334
6,9,1,7,4,3,2,2,0,14,16,7,5,11,12,4,7,1,2,0,0,3.3,3.3,2.38,0.4,1.2,9.4,12.0,2.2,3.4,10.0,11.2,4.4,5.4,1.2,1.2,0.0,0.0,1,16.872222222222224,2.6166666666666667,0.0,16.473333333333333,4.56,2.0,9.744444444444445,8.516666666666666
18,20,0,8,5,1,1,1,0,25,5,7,3,7,15,8,2,1,3,0,0,1.22,7.0,15.0,1.2,0.4,19.4,9.0,8.0,1.6,8.6,13.8,9.0,2.4,1.6,2.0,0.0,0.0,1,12.964102564102564,4.041025641025641,2.0,13.4,2.583333333333333,1.0,6.5025641025641026,6.991666666666667
8,10,1,12,5,5,0,3,0,21,1,9,0,5,16,4,2,0,3,0,0,1.53,4.33,7.0,2.0,1.2,11.0,10.6,4.6,3.8,8.0,13.4,3.0,4.0,1.0,2.4,0.2,0.2,1,12.604166666666666,2.7666666666666666,0.0,9.883333333333336,2.513888888888889,3.0,7.685416666666667,3.198611111111113
32,26,0,7,11,1,1,0,0,9,12,2,4,11,10,6,4,4,1,0,0,2.0,3.6,4.0,1.2,1.0,13.8,11.6,4.6,4.2,9.4,15.0,4.2,4.4,2.2,2.0,0.0,0.0,0,8.154166666666667,1.7687499999999998,5.0,13.933333333333332,2.2133333333333334,3.0,-0.03854166666666714,5.073333333333332
3,27,0,8,1,1,2,1,1,22,9,7,4,14,17,12,2,3,2,0,1,1.65,4.2,5.5,2.0,1.6,8.6,13.6,3.6,4.8,10.0,10.0,4.4,3.6,1.8,2.0,0.0,0.0,0,7.764102564102563,2.882051282051282,3.0,15.444444444444445,2.6111111111111107,6.0,2.323076923076923,3.0277777777777786
1,29,0,13,9,1,1,1,0,15,10,2,3,11,17,7,2,1,2,0,0,1.95,3.6,4.2,2.0,2.0,14.6,14.8,4.0,5.4,10.6,11.6,6.8,7.0,1.2,2.4,0.0,0.0,1,8.880952380952381,2.9023809523809523,5.0,6.883333333333334,2.3375,4.0,0.8916666666666666,0.6104166666666666
15,31,0,5,3,1,2,0,0,5,11,2,5,8,8,5,6,0,2,0,0,1.8,3.6,5.25,2.0,0.6,10.4,10.4,4.4,2.2,8.4,13.2,4.6,5.0,1.0,3.2,0.2,0.0,0,9.6,2.1277777777777778,3.0,10.541666666666668,2.6083333333333334,1.0,2.863888888888889,5.575000000000001
16,30,1,13,8,6,1,3,0,28,11,17,8,14,10,6,3,1,2,0,0,1.29,6.0,12.0,1.4,0.8,15.6,12.0,6.4,4.2,10.6,9.0,5.6,4.8,1.4,1.2,0.0,0.2,1,16.952380952380953,4.15952380952381,2.0,1.133333333333333,1.5,4.0,8.55595238095238,-2.6833333333333336
28,19,0,1,6,1,3,0,3,6,9,1,3,9,16,2,0,0,2,0,0,5.0,4.0,1.73,0.6,1.6,8.2,13.0,2.4,4.6,9.6,14.0,6.2,6.6,2.0,2.0,0.0,0.0,0,7.824999999999999,1.7958333333333336,1.0,7.7155555555555555,2.7444444444444445,4.0,3.810416666666667,1.2300000000000004
13,25,1,0,8,2,1,0,1,6,19,2,7,13,15,1,10,0,5,0,0,5.75,3.8,1.7,1.4,1.4,11.2,13.4,4.2,4.0,11.2,8.8,5.4,4.2,1.8,0.8,0.0,0.0,0,6.366666666666667,1.211111111111111,7.0,6.27843137254902,1.7509803921568627,2.0,-3.211111111111111,2.014705882352942
25,16,0,5,13,0,0,0,0,3,15,0,2,8,11,1,8,1,1,0,0,3.4,3.6,2.2,1.4,2.4,13.2,21.0,4.4,7.6,13.4,8.4,3.8,7.8,1.6,0.6,0.0,0.2,0,5.815686274509804,1.6411764705882352,2.0,15.252380952380951,3.723809523809524,3.0,1.7284313725490197,6.488095238095237
29,32,1,7,8,3,2,0,1,14,11,6,3,13,16,4,5,3,2,0,1,1.5,4.5,7.5,1.2,0.8,10.6,11.8,3.0,4.4,8.0,10.2,5.6,2.8,1.4,0.8,0.0,0.2,0,9.033333333333331,2.4208333333333334,3.0,9.166666666666666,1.875,4.0,2.727083333333333,1.520833333333333
9,18,0,1,6,1,2,0,1,9,10,2,4,12,15,2,7,1,2,0,0,6.5,4.5,1.53,1.2,2.4,8.8,20.2,3.8,7.0,10.2,10.0,3.4,8.0,2.0,1.0,0.0,0.0,0,16.76666666666667,3.913333333333333,3.0,12.384615384615383,3.705128205128205,1.0,7.340000000000002,7.044871794871794
